8371;0
10237;0
11595;0
12617;0
11358;0
9954;2
7319;2
7350;3
8954;5
10158;5
10954;6
10649;6
7897;11
4809;25
3947;52
4112;115
2720;206
1547;297
1177;405
754;643
619;902
613;1205
535;1593
422;2011
306;2412
323;2727
359;3168
297;3701
337;4245
466;4858
299;5367
246;5730
353;6012
295;6380
399;6767
132;7076
216;7354
111;7702
105;7876
246;8031
118;8301
110;8537
159;8798
257;9072
269;9273
274;9460
339;9634
83;9756
66;10079
168;10429
179;10807
99;11169
115;11291
178;11451
493;11686
103;11933
134;12104
278;12323
127;12563
103;12667
147;12789
124;12855
133;12958
116;13052
223;13132
