01/07/2020;28;;;;;
30/06/2020;17;;;;;
29/06/2020;26;;;;;
28/06/2020;11;;;;;
27/06/2020;14;;;;;
26/06/2020;72;;;;;
25/06/2020;36;;;;;
24/06/2020;11;;;;;
23/06/2020;28;;;;;
22/06/2020;15;;;;;
21/06/2020;24;;;;;
20/06/2020;23;;;;;
19/06/2020;25;;;;;
18/06/2020;32;;;;;
17/06/2020;16;;;;;
16/06/2020;23;;;;;
15/06/2020;14;;;;;
14/06/2020;17;;;;;
13/06/2020;7;;;;;
12/06/2020;21;;;;;
11/06/2020;33;;;;;
10/06/2020;27;;;;;
09/06/2020;36;;;;;
08/06/2020;17;;;;;
07/06/2020;6;;;;;
06/06/2020;10;;;;;
05/06/2020;24;;;;;
04/06/2020;19;;;;;
03/06/2020;51;;;;;
02/06/2020;38;;;;;
01/06/2020;17;;;;;
31/05/2020;16;;;;;
30/05/2020;10;;;;;
29/05/2020;88;;;;;
28/05/2020;47;;;;;
27/05/2020;39;;;;;
26/05/2020;93;;;;;
25/05/2020;115;;;;;
24/05/2020;89;;;;;
23/05/2020;52;;;;;
22/05/2020;92;;;;;
21/05/2020;150;;;;;
20/05/2020;0;;;;;
19/05/2020;63;;;;;
18/05/2020;51;;;;;
17/05/2020;85;;;;;
16/05/2020;116;;;;;
15/05/2020;123;;;;;
14/05/2020;151;;;;;
13/05/2020;202;;;;;
12/05/2020;136;;;;;
11/05/2020;184;;;;;
10/05/2020;83;;;;;
09/05/2020;151;;;;;
08/05/2020;369;;;;;
07/05/2020;704;;;;;
06/05/2020;415;;;;;
05/05/2020;292;;;;;
04/05/2020;405;;;;;
03/05/2020;132;;;;;
02/05/2020;384;;;;;
01/05/2020;543;;;;;
30/04/2020;391;;;;;
29/04/2020;262;;;;;
28/04/2020;496;;;;;
27/04/2020;403;;;;;
26/04/2020;944;;;;;
25/04/2020;550;;;;;
24/04/2020;717;;;;;
23/04/2020;1.679;;;;;
22/04/2020;1.090;;;;;
21/04/2020;690;;;;;
20/04/2020;1.436;;;;;
19/04/2020;1.076;;;;;
18/04/2020;657;;;;;
17/04/2020;1.627;;;;;
16/04/2020;962;;;;;
15/04/2020;849;;;;;
14/04/2020;1.308;;;;;
13/04/2020;471;;;;;
12/04/2020;699;;;;;
11/04/2020;1.043;;;;;
10/04/2020;1.257;;;;;
09/04/2020;684;;;;;
08/04/2020;1.396;;;;;
07/04/2020;1.324;;;;;
06/04/2020;1.499;;;;;
05/04/2020;792;;;;;
04/04/2020;1.298;;;;;
03/04/2020;1.274;;;;;
02/04/2020;1.656;;;;;
01/04/2020;1.813;;;;;
31/03/2020;1.218;;;;;
30/03/2020;2.616;;;;;
29/03/2020;1.131;;;;;
28/03/2020;763;;;;;
27/03/2020;1.323;;;;;
26/03/2020;1.348;;;;;
25/03/2020;1.655;;;;;
24/03/2020;2.073;;;;;
23/03/2020;1.939;;;;;
22/03/2020;1.221;;;;;
21/03/2020;501;;;;;
20/03/2020;933;;;;;
19/03/2020;568;;;;;
18/03/2020;836;;;;;
17/03/2020;472;;;;;
16/03/2020;491;;;;;
15/03/2020;188;;;;;
14/03/2020;206;;;;;
13/03/2020;190;;;;;
12/03/2020;135;;;;;
11/03/2020;55;;;;;
10/03/2020;24;;;;;
09/03/2020;23;;;;;
08/03/2020;29;;;;;
07/03/2020;13;;;;;
06/03/2020;8;;;;;
05/03/2020;5;;;;;
04/03/2020;6;;;;;
03/03/2020;4;;;;;
02/03/2020;3;;;;;
01/03/2020;5;;;;;
29/02/2020;3;;;;;
28/02/2020;3;;;;;
27/02/2020;0;;;;;
26/02/2020;1;;;;;
25/02/2020;1;;;;;
24/02/2020;1;;;;;
