28;4
17;2
26;2
11;1
14;1
72;0
36;0
11;0
28;0
15;0
24;1
23;3
25;5
32;3
16;3
23;5
14;3
17;1
7;2
21;0
33;0
27;3
36;3
17;4
6;5
10;9
24;4
19;7
51;7
38;8
17;9
16;11
10;11
88;13
47;8
39;8
93;9
115;9
89;3
52;31
92;7
150;3
0;0
63;40
51;25
85;12
116;29
123;33
151;59
202;131
136;71
184;66
83;23
151;25
369;36
704;77
415;49
292;75
405;50
132;35
384;48
543;76
391;86
262;70
496;97
403;109
944;133
550;68
717;105
1.679;50
1.090;96
690;95
1.436;143
1.076;76
657;54
1.627;127
962;134
849;99
1.308;90
471;128
699;96
1.043;111
1.257;100
684;83
1.396;107
1.324;133
1.499;148
792;123
1.298;129
1.274;173
1.656;242
1.813;244
1.218;177
2.616;262
1.131;184
763;156
1.323;190
1.348;208
1.655;156
2.073;177
1.939;94
1.221;54
501;69
933;40
568;27
836;14
472;23
491;6
188;4
206;2
190;0
135;2
55;1
24;0
23;2
29;0
13;0
8;1
5;0
6;0
4;0
3;0
5;0
3;0
3;0
0;0
1;0
1;0
1;0
