"03072020,	6"
"03072020,	1"
"03072020,	1"
"03072020,	8"
"03072020,	1"
"03072020,	1"
"03072020,	5"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	8"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	3"
"03072020,	1"
"03072020,	3"
"03072020,	1"
"03072020,	2"
"03072020,	6"
"03072020,	3"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	21"
"03072020,	3"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	3"
"03072020,	4"
"03072020,	3"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	14"
"03072020,	3"
"03072020,	7"
"03072020,	4"
"03072020,	1"
"03072020,	1"
"03072020,	3"
"03072020,	1"
"03072020,	2"
"03072020,	2"
"03072020,	1"
"03072020,	4"
"03072020,	1"
"03072020,	6"
"03072020,	6"
"03072020,	1"
"03072020,	2"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	13"
"03072020,	4"
"03072020,	1"
"03072020,	4"
"03072020,	10"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	3"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	7"
"03072020,	1"
"03072020,	1"
"03072020,	4"
"03072020,	2"
"03072020,	2"
"03072020,	1"
"03072020,	3"
"03072020,	1"
"03072020,	2"
"03072020,	3"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	3"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	4"
"03072020,	2"
"03072020,	1"
"03072020,	1"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	3"
"03072020,	2"
"03072020,	5"
"03072020,	4"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	2"
"03072020,	1"
"03072020,	8"
"03072020,	1"
"03072020,	5"
