"ML,20200207,0,0,0,0,0"
"NC,20200207,0,0,0,0,0"
"PV,20200207,0,0,0,0,0"
"RI,20200207,0,0,0,0,0"
"VC,20200207,1,0,1,0,0"
"AN,20200208,0,0,0,0,0"
"AR,20200208,0,0,0,0,0"
"AS,20200208,0,0,0,0,0"
"CB,20200208,0,0,0,0,0"
"CE,20200208,0,0,0,0,0"
"CL,20200208,0,0,0,0,0"
"CM,20200208,0,0,0,0,0"
"CN,20200208,0,0,0,0,0"
"CT,20200208,0,0,0,0,0"
"EX,20200208,1,1,0,0,0"
"GA,20200208,0,0,0,0,0"
"IB,20200208,0,0,0,0,0"
"MC,20200208,0,0,0,0,0"
"MD,20200208,8,8,0,0,0"
"ML,20200208,0,0,0,0,0"
"NC,20200208,0,0,0,0,0"
"PV,20200208,0,0,0,0,0"
"RI,20200208,0,0,0,0,0"
"VC,20200208,0,0,0,0,0"
"AN,20200209,1,0,1,0,0"
"AR,20200209,0,0,0,0,0"
"AS,20200209,0,0,0,0,0"
"CB,20200209,0,0,0,0,0"
"CE,20200209,0,0,0,0,0"
"CL,20200209,0,0,0,0,0"
"CM,20200209,0,0,0,0,0"
"CN,20200209,0,0,0,0,0"
"CT,20200209,1,0,0,0,1"
"EX,20200209,0,0,0,0,0"
"GA,20200209,0,0,0,0,0"
"IB,20200209,0,0,0,0,0"
"MC,20200209,0,0,0,0,0"
"MD,20200209,2,2,0,0,0"
"ML,20200209,0,0,0,0,0"
"NC,20200209,0,0,0,0,0"
"PV,20200209,1,0,0,0,1"
"RI,20200209,0,0,0,0,0"
"VC,20200209,0,0,0,0,0"
"AN,20200210,1,1,0,0,0"
"AR,20200210,0,0,0,0,0"
"AS,20200210,0,0,0,0,0"
"CB,20200210,0,0,0,0,0"
"CE,20200210,0,0,0,0,0"
"CL,20200210,1,0,1,0,0"
"CM,20200210,0,0,0,0,0"
"CN,20200210,0,0,0,0,0"
"CT,20200210,3,3,0,0,0"
"EX,20200210,0,0,0,0,0"
"GA,20200210,0,0,0,0,0"
"IB,20200210,2,2,0,0,0"
"MC,20200210,1,0,1,0,0"
"MD,20200210,10,10,0,0,0"
"ML,20200210,0,0,0,0,0"
"NC,20200210,1,1,0,0,0"
"PV,20200210,0,0,0,0,0"
"RI,20200210,0,0,0,0,0"
"VC,20200210,4,1,3,0,0"
"AN,20200211,1,0,1,0,0"
"AR,20200211,1,1,0,0,0"
"AS,20200211,0,0,0,0,0"
"CB,20200211,0,0,0,0,0"
"CE,20200211,0,0,0,0,0"
"CL,20200211,1,1,0,0,0"
"CM,20200211,0,0,0,0,0"
"CN,20200211,0,0,0,0,0"
"CT,20200211,2,1,0,0,1"
"EX,20200211,0,0,0,0,0"
"GA,20200211,0,0,0,0,0"
"IB,20200211,0,0,0,0,0"
"MC,20200211,0,0,0,0,0"
"MD,20200211,8,8,0,0,0"
