02/06/2020 0:00;14856;02/06/2020 0:00;20,75
03/06/2020 0:00;14890;03/06/2020 0:00;21,52
04/06/2020 0:00;14937;04/06/2020 0:00;18,89
05/06/2020 0:00;14981;05/06/2020 0:00;19,67
06/06/2020 0:00;14984;06/06/2020 0:00;20,67
07/06/2020 0:00;14988;07/06/2020 0:00;19,26
08/06/2020 0:00;15004;08/06/2020 0:00;17,05
09/06/2020 0:00;15026;09/06/2020 0:00;16,89
10/06/2020 0:00;15056;10/06/2020 0:00;18,35
11/06/2020 0:00;15076;11/06/2020 0:00;19,78
12/06/2020 0:00;15119;12/06/2020 0:00;22,05
13/06/2020 0:00;15120;13/06/2020 0:00;22,35
14/06/2020 0:00;15128;14/06/2020 0:00;21,03
15/06/2020 0:00;15136;15/06/2020 0:00;21,66
16/06/2020 0:00;15151;16/06/2020 0:00;19,27
17/06/2020 0:00;15166;17/06/2020 0:00;20,31
18/06/2020 0:00;15183;18/06/2020 0:00;18,84
19/06/2020 0:00;15204;19/06/2020 0:00;20
20/06/2020 0:00;15209;20/06/2020 0:00;21,92
21/06/2020 0:00;15212;21/06/2020 0:00;23,2
22/06/2020 0:00;15225;22/06/2020 0:00;23,91
23/06/2020 0:00;15248;23/06/2020 0:00;24,12
24/06/2020 0:00;15251;24/06/2020 0:00;24,26
25/06/2020 0:00;15256;25/06/2020 0:00;25,54
26/06/2020 0:00;15291;26/06/2020 0:00;25,88
27/06/2020 0:00;15296;27/06/2020 0:00;24,79
28/06/2020 0:00;15302;28/06/2020 0:00;25,58
29/06/2020 0:00;15314;29/06/2020 0:00;24,99
30/06/2020 0:00;15342;30/06/2020 0:00;24,84
01/07/2020 0:00;15366;01/07/2020 0:00;26,45
02/07/2020 0:00;15398;02/07/2020 0:00;26,02
03/07/2020 0:00;15444;03/07/2020 0:00;22,6
04/07/2020 0:00;15451;04/07/2020 0:00;23,4
05/07/2020 0:00;15453;05/07/2020 0:00;25,03
